creator_id,platform,name,channel_id,country,language,category,subscribers,avg_views,engagement_rate,recent_video_ids,last_30d_uploads
creator_0,youtube,Creator 0,UC000000350,SG,en,AI,340243,30270,0.11381706996637658,"['vid_0_0', 'vid_0_1', 'vid_0_2', 'vid_0_3', 'vid_0_4', 'vid_0_5']",2
creator_1,youtube,Creator 1,UC000001827,GB,zh,Tech,380749,104754,0.14937437678051507,"['vid_1_0', 'vid_1_1', 'vid_1_2', 'vid_1_3']",10
creator_2,youtube,Creator 2,UC000002667,DE,zh,Education,477131,24605,0.07833356300070413,"['vid_2_0', 'vid_2_1', 'vid_2_2', 'vid_2_3', 'vid_2_4', 'vid_2_5', 'vid_2_6']",15
creator_3,youtube,Creator 3,UC000003558,GB,ms,Tech,25308,8746,0.03993961867972144,"['vid_3_0', 'vid_3_1', 'vid_3_2', 'vid_3_3', 'vid_3_4', 'vid_3_5']",11
creator_4,youtube,Creator 4,UC000004594,GB,en,Tech,71799,6493,0.045944605530098936,"['vid_4_0', 'vid_4_1', 'vid_4_2', 'vid_4_3', 'vid_4_4', 'vid_4_5']",10
creator_5,youtube,Creator 5,UC000005606,GB,en,Tech,135838,21263,0.10126775921192929,"['vid_5_0', 'vid_5_1', 'vid_5_2', 'vid_5_3', 'vid_5_4', 'vid_5_5', 'vid_5_6']",1
creator_6,youtube,Creator 6,UC000006547,US,ms,Tech,203627,22293,0.01136998443541024,"['vid_6_0', 'vid_6_1', 'vid_6_2', 'vid_6_3', 'vid_6_4', 'vid_6_5', 'vid_6_6']",13
creator_7,youtube,Creator 7,UC000007202,US,zh,Gaming,207403,43601,0.036247927795503024,"['vid_7_0', 'vid_7_1', 'vid_7_2']",11
creator_8,youtube,Creator 8,UC000008859,GB,zh,Education,453053,48626,0.13860886933511865,"['vid_8_0', 'vid_8_1', 'vid_8_2', 'vid_8_3', 'vid_8_4', 'vid_8_5']",6
creator_9,youtube,Creator 9,UC000009702,DE,zh,AI,442105,167972,0.03470496725055059,"['vid_9_0', 'vid_9_1', 'vid_9_2', 'vid_9_3', 'vid_9_4']",0
creator_10,youtube,Creator 10,UC000010401,GB,en,Education,123272,41174,0.13667173238820998,"['vid_10_0', 'vid_10_1', 'vid_10_2']",1
creator_11,youtube,Creator 11,UC000011408,IN,en,Design,126572,11655,0.11026906590022101,"['vid_11_0', 'vid_11_1', 'vid_11_2', 'vid_11_3', 'vid_11_4', 'vid_11_5', 'vid_11_6']",10
creator_12,youtube,Creator 12,UC000012240,US,ms,AI,174265,43993,0.09442078303190836,"['vid_12_0', 'vid_12_1', 'vid_12_2', 'vid_12_3', 'vid_12_4']",7
creator_13,youtube,Creator 13,UC000013720,DE,id,Design,46485,4761,0.03935898031804419,"['vid_13_0', 'vid_13_1']",13
creator_14,youtube,Creator 14,UC000014482,ID,en,Design,238970,59085,0.10663573308944252,"['vid_14_0', 'vid_14_1', 'vid_14_2', 'vid_14_3', 'vid_14_4', 'vid_14_5']",3
